Wall time,Step,Value
1598430049.0004928,0,4.69041109085083
1598430158.7020636,1,4.619454860687256
1598430267.5900776,2,4.6247992515563965
1598430376.53519,3,4.625039577484131
1598430486.279628,4,4.637550354003906
1598430595.299793,5,4.610607624053955
1598430704.8214746,6,4.590541362762451
1598430813.967028,7,4.5983357429504395
1598430923.6577446,8,4.579690933227539
1598431032.4102788,9,4.556674480438232
1598431141.261018,10,4.585197925567627
1598431250.9581163,11,4.590998649597168
1598431359.8473642,12,4.56719446182251
1598431469.5682344,13,4.579556465148926
1598431578.6666603,14,4.578880310058594
1598431688.4884045,15,4.572146415710449
1598431797.507403,16,4.568976879119873
1598431906.2713706,17,4.546584129333496
1598432015.7518706,18,4.564814567565918
1598432124.5289366,19,4.571998119354248
1598432234.089993,20,4.580300331115723
1598432342.918731,21,4.564651966094971
1598432452.7079744,22,4.563312530517578
1598432561.677717,23,4.5947747230529785
1598432670.6988406,24,4.578619003295898
1598432780.44173,25,4.56439208984375
1598432889.2845654,26,4.561969757080078
1598432958.452682,27,4.577589511871338
1598433013.0911834,28,4.585355758666992
1598433118.5878205,29,4.547852516174316
1598433226.7381692,30,4.576614856719971
1598433336.0328736,31,4.555182933807373
1598433444.4622326,32,4.586327075958252
1598433553.8094778,33,4.5808258056640625
1598433662.3165402,34,4.567742347717285
1598433771.661285,35,4.561890125274658
1598433880.1733043,36,4.57301664352417
1598433988.6410718,37,4.58180570602417
1598434097.8944168,38,4.554193019866943
1598434206.7992213,39,4.578298568725586
1598434316.6463969,40,4.554548740386963
1598434425.071406,41,4.56174898147583
1598434534.3827212,42,4.5644354820251465
1598434643.045169,43,4.5785369873046875
1598434751.5763507,44,4.600378513336182
1598434860.9608998,45,4.591829299926758
1598434969.593898,46,4.552308082580566
1598435078.9071503,47,4.5633134841918945
1598435187.78738,48,4.560781478881836
1598435297.138104,49,4.566319465637207
1598435405.7073092,50,4.550492763519287
1598435515.6897078,51,4.530579566955566
1598435624.9725878,52,4.560972213745117
1598435733.4103405,53,4.554778099060059
1598435842.6563993,54,4.550926208496094
1598435951.2056944,55,4.606019020080566
1598436060.4943478,56,4.566629886627197
1598436169.0713384,57,4.567660808563232
1598436278.531554,58,4.532133102416992
1598436387.1746523,59,4.560797214508057
1598436495.8627863,60,4.56911563873291
1598436605.1853757,61,4.557333946228027
1598436713.8609266,62,4.567324638366699
1598436823.1399276,63,4.552748203277588
1598436931.658051,64,4.522659778594971
1598437041.474574,65,4.589837551116943
1598437178.7532341,66,4.560373306274414
