Wall time,Step,Value
1598437993.945509,0,4.668695449829102
1598438265.6592276,1,4.622694492340088
1598438538.0047972,2,4.6276936531066895
1598438810.3151367,3,4.632786750793457
1598439082.7596178,4,4.636499404907227
1598439355.4992337,5,4.626104831695557
1598439627.9468699,6,4.639416217803955
1598439900.1991687,7,4.610763072967529
1598440172.9501753,8,4.622499942779541
1598440445.0323682,9,4.629857540130615
1598440716.9781616,10,4.607475280761719
1598440989.4120336,11,4.600191116333008
1598441261.5653985,12,4.6162261962890625
1598441533.4671688,13,4.617498397827148
1598441805.6445491,14,4.591516494750977
1598442077.783082,15,4.63780403137207
1598442349.9579566,16,4.61930513381958
1598442622.4929514,17,4.616029739379883
1598442894.7766874,18,4.5982160568237305
1598443166.5260644,19,4.612301826477051
1598443438.6416583,20,4.607626914978027
1598443710.548425,21,4.6099443435668945
1598443982.8824427,22,4.605265140533447
