Wall time,Step,Value
1598433209.7198195,0,4.566769599914551
1598433401.744506,1,4.556973457336426
1598433593.585802,2,4.53726863861084
1598433785.600608,3,4.551059246063232
1598433978.569508,4,4.537754058837891
1598434170.627489,5,4.529219627380371
1598434362.5895884,6,4.526076316833496
1598434554.4799902,7,4.533510208129883
1598434747.3946488,8,4.51233434677124
1598434939.276027,9,4.53048038482666
1598435131.2092955,10,4.534450054168701
1598435323.390697,11,4.527348041534424
1598435515.923029,12,4.537806034088135
1598435708.7889082,13,4.5351948738098145
1598435900.828878,14,4.524960994720459
1598436092.8558562,15,4.5582451820373535
1598436284.8523505,16,4.564665794372559
1598436477.9129941,17,4.558896064758301
1598436670.0865703,18,4.5064544677734375
1598436862.1326594,19,4.5256805419921875
1598437053.9653401,20,4.526873588562012
1598437201.1955383,21,4.5385565757751465
1598437293.511452,22,4.518122673034668
1598437386.1091795,23,4.523286819458008
1598437544.6198268,24,4.519771099090576
1598437680.6655462,25,4.5361199378967285
1598437805.292161,26,4.518809795379639
1598438080.077198,27,4.533297538757324
1598438359.0122263,28,4.52052116394043
1598438637.990997,29,4.5290446281433105
1598438917.3433144,30,4.523135185241699
1598439196.6251166,31,4.510378360748291
1598439475.9962068,32,4.517843723297119
1598439755.6389134,33,4.51857328414917
1598440035.0343852,34,4.526731967926025
1598440314.3873286,35,4.521409511566162
1598440593.7617664,36,4.546381950378418
1598440872.8341334,37,4.501261234283447
1598441152.0817482,38,4.533942699432373
1598441431.9741745,39,4.517318248748779
1598441710.6845572,40,4.53286075592041
1598441989.6298149,41,4.5186309814453125
1598442269.5054066,42,4.527035236358643
1598442548.9506311,43,4.536250591278076
1598442828.2337425,44,4.5287065505981445
1598443107.8757956,45,4.5175251960754395
1598443386.8819478,46,4.537390232086182
1598443666.0929925,47,4.519518852233887
1598443945.3084133,48,4.524777412414551
