Wall time,Step,Value
1598453654.6790066,0,4.988358020782471
1598453839.6934555,1,4.929244518280029
1598454024.501953,2,4.969305992126465
1598454209.6821327,3,4.9512763023376465
1598454395.5467894,4,4.825163841247559
1598454581.2108943,5,4.949095726013184
1598454766.957257,6,4.8838958740234375
1598454952.5311162,7,4.814556121826172
1598455138.1339948,8,4.832930088043213
1598455323.352452,9,4.85632848739624
1598455508.088206,10,4.947190761566162
1598455693.3832192,11,4.883000373840332
1598455878.7263858,12,4.777241230010986
1598456064.4373167,13,4.807577610015869
1598456249.588393,14,4.7584228515625
1598456434.6688414,15,4.763761520385742
1598456619.7827406,16,4.73861026763916
1598456805.388848,17,4.811798572540283
1598456991.2331424,18,4.746435642242432
1598457176.9317942,19,4.726742744445801
1598457362.8113747,20,4.740708827972412
1598457548.6680498,21,4.719387054443359
1598457734.3429973,22,4.71672248840332
1598457919.848668,23,4.703575134277344
1598458105.4077218,24,4.718364238739014
1598458290.970213,25,4.703817844390869
1598458476.267924,26,4.7133660316467285
1598458661.2876682,27,4.698872089385986
1598458846.3016224,28,4.707561492919922
1598459031.9968612,29,4.708970069885254
1598459217.4154952,30,4.697666168212891
1598459402.642331,31,4.692612171173096
1598459587.7113853,32,4.701234340667725
1598459772.986756,33,4.696256160736084
1598459958.9182072,34,4.68555212020874
1598460144.6618023,35,4.680881023406982
1598460330.2637353,36,4.682266712188721
1598460515.3541737,37,4.687023162841797
1598460700.4712973,38,4.679661750793457
1598460885.7738302,39,4.67211389541626
1598461071.0138128,40,4.677347183227539
1598461256.343339,41,4.665853023529053
1598461441.1763222,42,4.67235803604126
1598461626.3765497,43,4.675997257232666
1598461811.7414744,44,4.667791843414307
1598461997.434871,45,4.674869537353516
1598462182.4433227,46,4.659045696258545
1598462367.4871242,47,4.6714982986450195
1598462553.046076,48,4.680167198181152
1598462745.2392406,49,4.64552116394043
1598462935.9009619,50,4.708028316497803
1598463121.3362947,51,4.655414581298828
1598463307.0881808,52,4.666797637939453
1598463492.8904507,53,4.611340045928955
1598463678.4990954,54,4.66865348815918
1598463864.1741333,55,4.65525484085083
1598464057.1252983,56,4.6541428565979
1598464247.1846218,57,4.644219875335693
1598464432.8446262,58,4.645334720611572
1598464618.670005,59,4.6641998291015625
1598464804.5882912,60,4.650967121124268
1598464990.3174117,61,4.657259941101074
1598465175.9024708,62,4.640485763549805
1598465361.1996243,63,4.6464762687683105
1598465546.5295022,64,4.650524616241455
1598465732.3848796,65,4.637062072753906
1598465918.1727755,66,4.660164833068848
1598466104.2121768,67,4.651814937591553
1598466290.031674,68,4.64459228515625
1598466476.1280956,69,4.639304161071777
1598466662.0010967,70,4.63542366027832
1598466847.8259554,71,4.627920627593994
1598467033.5049622,72,4.635244369506836
1598467219.218472,73,4.627490043640137
1598467404.8888435,74,4.636450290679932
1598467617.9506795,75,4.642027854919434
1598467992.728645,76,4.647762775421143
1598468221.5408192,77,4.6304240226745605
1598468424.6777952,78,4.638086795806885
1598468610.4552503,79,4.633688449859619
1598468796.0842924,80,4.625831127166748
1598468981.96895,81,4.631075382232666
1598469167.6918993,82,4.642069339752197
1598469353.6825523,83,4.642760276794434
1598469539.5018353,84,4.6491265296936035
1598469725.3037074,85,4.622663974761963
1598469909.996462,86,4.637237071990967
1598470104.7237568,87,4.629034042358398
1598470292.060513,88,4.6224141120910645
1598470477.618225,89,4.636629581451416
1598470663.3339896,90,4.6233811378479
1598470849.4350212,91,4.673776149749756
1598471045.7817016,92,4.62352991104126
1598471230.6197233,93,4.618312835693359
1598471415.9273653,94,4.6286749839782715
1598471601.3828313,95,4.628772735595703
1598471786.7364535,96,4.6166768074035645
1598471971.999968,97,4.631400108337402
1598472157.5728014,98,4.628575325012207
1598472343.198798,99,4.621580600738525
1598472528.7925384,100,4.629612922668457
1598472714.1628575,101,4.631498336791992
1598472911.6370704,102,4.617737770080566
