Wall time,Step,Value
1598438223.7399805,0,4.669375419616699
1598438631.0529873,1,4.641848564147949
1598439038.9359052,2,4.623891830444336
1598439446.5207925,3,4.615570068359375
1598439854.124022,4,4.6315107345581055
1598440261.5421078,5,4.628233909606934
1598440669.5696764,6,4.623933792114258
1598441076.7291617,7,4.614754676818848
1598441484.3084712,8,4.628163814544678
1598441892.0911467,9,4.6334147453308105
1598442299.7215145,10,4.619832992553711
1598442707.6895697,11,4.6233367919921875
1598443115.7614691,12,4.621519565582275
1598443523.3173358,13,4.616072177886963
1598443931.2180505,14,4.6169843673706055
